Unnamed: 0,movie_id,original_language,original_title,popularity,release_date,title,vote_average,vote_count,genres
14317,258509,en,Alvin and the Chipmunks: The Road Chip,36.858,2015-12-17,Alvin and the Chipmunks: The Road Chip,6.0,1461,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]"
14318,257440,en,Term Life,11.372,2016-04-29,Term Life,6.0,256,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 9648, 'name': 'Mystery'}]"
14319,18239,en,The Twilight Saga: New Moon,66.596,2009-11-18,The Twilight Saga: New Moon,6.0,8383,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
14320,5559,en,Bee Movie,42.565,2007-10-28,Bee Movie,6.0,4336,"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}]"
14321,533642,en,Child's Play,20.291,2019-06-19,Child's Play,6.0,1688,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]"
14322,429415,en,Extinction,23.374,2018-07-15,Extinction,6.0,1596,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]"
14323,363126,en,Berlin Syndrome,14.089,2017-04-20,Berlin Syndrome,6.0,569,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}]"
14324,340382,ja,進撃の巨人 ATTACK ON TITAN エンド オブ ザ ワールド,47.531,2015-09-01,Attack on Titan II: End of the World,6.0,265,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]"
14325,286521,en,5 Flights Up,8.027,2014-09-05,5 Flights Up,6.0,272,"[{'id': 18, 'name': 'Drama'}]"
14326,222899,en,About Last Night,12.568,2014-02-14,About Last Night,6.0,464,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
14327,32293,en,The Cheetah Girls,9.435,2003-08-15,The Cheetah Girls,6.0,432,"[{'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10770, 'name': 'TV Movie'}]"
14328,13910,en,Death Defying Acts,8.881,2007-09-13,Death Defying Acts,6.0,227,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
14329,11678,en,Vertical Limit,22.314,2000-12-08,Vertical Limit,6.0,900,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]"
14330,9268,en,Eraser,22.272,1996-06-21,Eraser,6.0,1565,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]"
14331,1969,en,Bandidas,16.206,2006-01-18,Bandidas,6.0,986,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 37, 'name': 'Western'}, {'id': 80, 'name': 'Crime'}]"
14332,413857,en,Tragedy Girls,12.404,2017-10-20,Tragedy Girls,6.0,258,"[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}]"
14333,11429,en,Beyond Re-Animator,7.396,2003-04-04,Beyond Re-Animator,6.0,307,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]"
14334,58013,it,La banda dei Babbi Natale,5.57,2010-12-17,La banda dei Babbi Natale,6.0,984,"[{'id': 35, 'name': 'Comedy'}]"
14335,40161,en,The Decoy Bride,9.727,2011-06-06,The Decoy Bride,6.0,204,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
14336,13654,en,101 Dalmatians II: Patch's London Adventure,31.209,2002-11-06,101 Dalmatians II: Patch's London Adventure,6.0,1033,"[{'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 16, 'name': 'Animation'}]"
14337,1410,en,Dark Star,10.932,1974-04-01,Dark Star,6.0,456,"[{'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]"
14338,333348,en,Love the Coopers,13.734,2015-11-12,Love the Coopers,6.0,707,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]"
14339,119283,en,Parker,26.054,2013-01-23,Parker,6.0,2731,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]"
14340,18890,en,We're Back! A Dinosaur's Story,15.417,1993-11-24,We're Back! A Dinosaur's Story,6.0,355,"[{'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10751, 'name': 'Family'}]"
14341,13203,en,Son in Law,9.708,1993-07-02,Son in Law,6.0,236,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
14342,11077,en,Problem Child,23.03,1990-07-27,Problem Child,6.0,705,"[{'id': 35, 'name': 'Comedy'}]"
14343,785752,en,Intrusion,16.021,2021-09-22,Intrusion,6.0,562,"[{'id': 53, 'name': 'Thriller'}]"
14344,522417,en,The Scorpion King: Book of Souls,25.141,2018-10-23,The Scorpion King: Book of Souls,6.0,220,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]"
14345,121824,en,Stand Up Guys,12.095,2012-12-14,Stand Up Guys,6.0,808,"[{'id': 53, 'name': 'Thriller'}, {'id': 35, 'name': 'Comedy'}, {'id': 28, 'name': 'Action'}]"
14346,13937,en,Raising Cain,8.938,1992-08-07,Raising Cain,6.0,287,"[{'id': 27, 'name': 'Horror'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]"
14347,10544,en,Ned Kelly,13.037,2003-03-22,Ned Kelly,6.0,314,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]"
14348,508018,es,El aviso,7.68,2018-03-10,The Warning,6.0,351,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]"
14349,74944,fr,La Guerre des boutons,6.421,2011-09-14,War of the Buttons,6.0,367,"[{'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}]"
14350,73108,en,Teen Spirit,10.267,2011-08-07,Teen Spirit,6.0,270,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 10770, 'name': 'TV Movie'}]"
14351,458005,en,Zoe,9.815,2018-07-19,Zoe,6.0,345,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]"
14352,10765,en,Private Benjamin,10.607,1980-10-06,Private Benjamin,6.0,323,"[{'id': 35, 'name': 'Comedy'}]"
